model,pd,a,b,c,tp,pp
opt13b,prefill,0.0974880093298307,0.021101656467544,15.083061340182809,1,1
opt13b,decode,0.0007949290709827,0.0209144614273293,19.705356203706717,1,1
opt13b,prefill,0.0614201646475292,0.0107241227146614,14.603291263800005,2,1
opt13b,decode,0.0003346309566065,0.0242961697383897,13.604431926258682,2,1
opt13b,prefill,0.032382100680401,0.0059453733887655,13.090969135079987,4,1
opt13b,decode,0.0001987465644909,0.0011104359855963,9.392290369222366,4,1
opt66b,prefill,0.2707003558815407,0.0302346225743821,28.63725767031383,2,1
opt66b,decode,0.0009372844516338,0.0762855266257526,48.76502104876639,2,1
opt66b,prefill,0.2329835446815972,0.0450226206670912,15.93770485965382,2,1
opt66b,decode,0.0009380319482417,0.0296114928613491,40.20930149627845,2,1
opt66b,prefill,0.1402019871941146,0.0313682940354357,21.072352039378217,4,1
opt66b,decode,0.0008319271363898,0.0075814479902322,28.73783470990596,4,1
opt175b,prefill,0.1666373136818018,0.0200766422008724,10.655805915288738,1,8
opt175b,decode,0.0004447933957173,0.0732519928248783,26.643225537440973,1,8
opt175b,prefill,0.1814046978090854,0.0214254370746197,16.987925236646788,2,4
opt175b,decode,0.0004057057494832,0.036749525589718,29.6836397279045,2,4
opt175b,prefill,0.1630373861487281,0.0134403237061666,22.460175477853284,3,3
opt175b,decode,0.0003665511557926,0.0120199714129793,27.3980929635603,3,3
opt175b,prefill,0.1836736060780339,0.0347392971266785,22.976436800705105,4,2
opt175b,decode,0.0005653116271032,0.0043270441077756,32.907903178039646,4,2
opt175b,prefill,0.0937901264749177,0.0189696983976197,14.826285875110829,4,4
opt175b,decode,0.0011298973494774,0.8873151253205432,17.004414343472945,4,4
