model,tp,pp,max_num_tokens
facebook/opt-13b,1,1,66144
facebook/opt-13b,1,2,163008
facebook/opt-13b,1,4,356752
facebook/opt-13b,1,5,453616
facebook/opt-13b,1,8,744224
facebook/opt-13b,2,1,163008
facebook/opt-13b,2,2,356752
facebook/opt-13b,2,4,744224
facebook/opt-13b,2,5,937968
facebook/opt-13b,2,8,1519184
facebook/opt-13b,4,1,356736
facebook/opt-13b,4,2,744224
facebook/opt-13b,4,4,1519168
facebook/opt-13b,4,5,1906656
facebook/opt-13b,4,8,3069088
facebook/opt-13b,5,1,453600
facebook/opt-13b,5,2,937952
facebook/opt-13b,5,4,1906640
facebook/opt-13b,5,5,2390992
facebook/opt-13b,5,8,3844032
facebook/opt-13b,8,1,744208
facebook/opt-13b,8,2,1519168
facebook/opt-13b,8,4,3069072
facebook/opt-13b,8,5,3844032
facebook/opt-13b,8,8,6168896
facebook/opt-66b,1,2,11600
facebook/opt-66b,1,4,78512
facebook/opt-66b,1,8,212320
facebook/opt-66b,2,1,11600
facebook/opt-66b,2,2,78512
facebook/opt-66b,2,4,212320
facebook/opt-66b,2,8,479952
facebook/opt-66b,3,1,45056
facebook/opt-66b,3,2,145408
facebook/opt-66b,3,4,346128
facebook/opt-66b,3,8,747568
facebook/opt-66b,4,1,78496
facebook/opt-66b,4,2,212320
facebook/opt-66b,4,4,479936
facebook/opt-66b,4,8,1015200
facebook/opt-66b,6,1,145408
facebook/opt-66b,6,2,346128
facebook/opt-66b,6,4,747568
facebook/opt-66b,6,8,1550448
facebook/opt-66b,8,1,212304
facebook/opt-66b,8,2,479936
facebook/opt-66b,8,4,1015184
facebook/opt-66b,8,8,2085696
facebook/opt-175b,1,6,26208
facebook/opt-175b,1,8,59536
facebook/opt-175b,2,3,26208
facebook/opt-175b,2,4,59536
facebook/opt-175b,2,6,126160
facebook/opt-175b,2,8,192800
facebook/opt-175b,3,2,26208
facebook/opt-175b,3,3,76192
facebook/opt-175b,3,4,126160
facebook/opt-175b,3,6,226112
facebook/opt-175b,3,8,326064
facebook/opt-175b,4,2,59520
facebook/opt-175b,4,3,126160
facebook/opt-175b,4,4,192800
facebook/opt-175b,4,6,326064
facebook/opt-175b,4,8,459328
facebook/opt-175b,6,1,26208
facebook/opt-175b,6,2,126160
facebook/opt-175b,6,3,226112
facebook/opt-175b,6,4,326064
facebook/opt-175b,6,6,525968
facebook/opt-175b,6,8,725872
facebook/opt-175b,8,1,59520
facebook/opt-175b,8,2,192784
facebook/opt-175b,8,3,326048
facebook/opt-175b,8,4,459328
facebook/opt-175b,8,6,725856
facebook/opt-175b,8,8,992400
